"cell_features","use_landmark_genes","dense","dense_feature_layers","batch_size","residual","activation","optimizer","learning_rate","reduce_lr","warmup_lr","epochs","clipnorm","clipvalue","decay","epsilon","rho","momentum","nesterov","beta_1","beta_2"
"expression",1,"1000 1000","1000 1000 1000 1000",64,TRUE,"tanh","sgd",0.0447664510433425,FALSE,TRUE,149,1.31750078056615,5.66075812083746,0.648203277173452,1e-10,7.9879065475671,6.38958690238302,TRUE,8.6532554823556,8.38520559868426
"mirna",1,"1000 1000","1000 1000",128,TRUE,"sigmoid","rmsprop",0.0594838072222483,FALSE,TRUE,270,2.68583993607996,5.27721551137923,2.64562931277091,1e-12,5.16205379336846,1.90226747257984,FALSE,1.52451844598077,9.65693088367784
"expression",1,"1000 1000 1000","1000 1000",512,FALSE,"relu","adam",0.0181533386275584,FALSE,TRUE,318,6.40067289676002,3.90679993177467,4.22336732114083,1e-06,5.23362966554804,5.58110880449298,TRUE,3.46013261094676,9.66768737817792
"mirna",1,"1000 1000","1000",256,FALSE,"sigmoid","rmsprop",0.0840610809820312,FALSE,FALSE,144,7.20947067716167,0.293902427641495,9.57719629512168,1e-12,8.30516008703222,7.12884807495982,FALSE,1.38858365821168,9.26470604347316
"mirna",1,"1000 1000 1000 1000","1000 1000",128,TRUE,"sigmoid","adam",0.0181963288622595,TRUE,FALSE,392,1.94667060604846,7.3202800572701,4.07316321406397,1e-06,7.44835570689846,5.14645732059143,TRUE,4.05806165789035,4.06054669447547
"expression",1,"1000 1000 1000","1000 1000 1000 1000",32,FALSE,"tanh","adam",0.0263107673137077,FALSE,TRUE,137,0.955472201089299,5.28225431612588,3.21994269633549,1e-14,2.83111087986553,7.64090639633709,FALSE,0.662795172136756,8.26571036384035
"expression",1,"1000 1000 1000 1000 1000","1000 1000",512,TRUE,"tanh","rmsprop",0.0959409199204,FALSE,FALSE,336,2.43038982041595,1.37012691532453,5.30779484595056,1e-10,5.89977175666792,8.29698160034954,FALSE,7.49592440370085,4.43442454215283
"mirna",1,"1000","1000 1000 1000 1000",1024,TRUE,"sigmoid","rmsprop",0.0119143138158881,TRUE,FALSE,199,0.204428989245458,2.03271278059865,3.5855369302386,1e-06,1.71169111261981,0.980949108115165,TRUE,2.39340085451786,5.59574392430594
"expression",1,"1000 1000 1000","1000 1000 1000 1000",32,TRUE,"relu","rmsprop",0.0650476447589021,TRUE,TRUE,184,8.66041976888273,6.17188097351334,0.953657508803299,1e-12,8.63122956049643,6.15736517386395,FALSE,0.174379053771585,2.96224490437132
"mirna",1,"1000 1000","1000 1000 1000",1024,TRUE,"relu","rmsprop",0.0387266572220875,FALSE,TRUE,392,6.08870256912438,7.28614810299176,2.98127132034744,1e-10,1.5659440231855,3.84198745034169,TRUE,0.982092667242728,5.28169211987916
"expression",1,"1000 1000 1000 1000 1000","1000 1000 1000 1000 1000",512,TRUE,"tanh","adam",0.0425831067080321,FALSE,TRUE,100,7.50077994441438,7.67014213286203,9.26503349934123,1e-10,3.25987921421378,4.53795954292058,FALSE,6.60196240542057,7.78642487162924
"expression",1,"1000 1000 1000 1000","1000",256,FALSE,"tanh","adam",0.0559955113836136,TRUE,FALSE,237,3.87109140829229,2.05697890390291,2.23314129677718,1e-14,5.58307092729985,4.64242707083118,FALSE,1.5138150182435,5.72185179707796
"expression",1,"1000","1000",512,TRUE,"tanh","rmsprop",0.0685348425230212,FALSE,TRUE,288,4.4053491839,7.52769984460086,0.403574869470904,1e-14,8.82310921798918,9.23142828565556,TRUE,9.53470199340653,2.60726099151487
"mirna",1,"1000 1000","1000 1000",32,TRUE,"relu","sgd",0.0881519994247747,FALSE,TRUE,134,5.78870858398215,1.41749446748453,4.5621428225562,1e-08,3.54360399405937,5.74878116958076,FALSE,7.74468079043113,1.21866544192634
"expression",1,"1000","1000",32,FALSE,"tanh","sgd",0.0244867413774398,FALSE,TRUE,130,9.56976543799008,3.10900230484713,3.19770832768991,1e-10,9.15038826631871,8.00192028820165,FALSE,9.01435393380805,2.07916707723183
"mirna",1,"1000 1000 1000","1000",256,FALSE,"sigmoid","sgd",0.078712249078449,TRUE,FALSE,448,2.0189691718637,9.13461312234869,4.55861725466675,1e-08,4.68352396612297,5.18184728293098,TRUE,8.12155542019572,9.11749770929078
"mirna",1,"1000 1000","1000 1000 1000",64,TRUE,"relu","rmsprop",0.0956575674026329,TRUE,FALSE,386,8.70993175043922,7.34340710630104,0.724269408175023,1e-14,6.76927896170402,9.35571595683694,TRUE,8.40423413546346,3.81751288332863
"expression",1,"1000 1000 1000 1000 1000","1000",128,TRUE,"sigmoid","sgd",0.0786125557844226,FALSE,FALSE,221,0.593752713164953,9.93340774883959,2.65317844892968,1e-10,9.00888547294785,9.86107212730916,FALSE,0.640176692317492,2.08180077692911
"mirna",1,"1000 1000 1000 1000","1000 1000 1000 1000",64,FALSE,"relu","adam",0.0968128976668994,TRUE,TRUE,459,1.52126460363018,6.9836352697304,9.15557986155269,1e-14,7.62070651339694,9.7849818234751,FALSE,4.84154529923642,6.71665253097429
"expression",1,"1000","1000",1024,FALSE,"relu","adam",0.0885591491164915,FALSE,TRUE,121,3.83558716664505,5.57053140819768,8.83770356161403,1e-08,0.937308299515189,6.99851922567701,TRUE,5.55761097474345,8.07940767470565
"expression",1,"1000 1000 1000 1000","1000 1000 1000 1000",1024,FALSE,"relu","rmsprop",0.0506375046260406,TRUE,FALSE,430,3.61480111914248,1.39177903283796,9.26097433451214,1e-10,6.42079130532573,7.46967941644369,TRUE,4.46534130926078,7.09391633397346
"mirna",1,"1000 1000","1000 1000 1000 1000 1000",512,FALSE,"relu","adam",0.000298533818611143,FALSE,FALSE,260,3.8610186127875,1.20851487783291,2.40033597718109,1e-06,3.01807444741201,0.150237145515857,TRUE,1.30737116844486,3.96783855590319
"mirna",1,"1000","1000 1000 1000",256,TRUE,"tanh","rmsprop",0.0228485847950503,TRUE,FALSE,307,7.87241724884188,3.16271600632185,8.65097533978755,1e-14,9.22006202279614,6.46911677142256,TRUE,0.0128148734661475,9.29441056301203
"mirna",1,"1000 1000 1000","1000 1000 1000 1000",32,TRUE,"tanh","sgd",0.0169822185842925,TRUE,FALSE,130,9.37779932339625,9.90695242982304,3.60450069458573,1e-10,6.43001040044452,2.73781085939379,FALSE,1.59039488907465,7.37262563517624
"expression",1,"1000 1000 1000","1000",256,FALSE,"tanh","rmsprop",0.0487245199256544,TRUE,TRUE,217,8.25145356913758,5.11008140012503,9.97879319561529,1e-14,5.62464658633862,9.09963605017401,TRUE,7.33090333092735,2.95163839212694
"mirna",1,"1000 1000 1000 1000 1000","1000 1000 1000 1000",1024,TRUE,"sigmoid","sgd",0.085882521249134,FALSE,FALSE,439,7.45572547521711,9.52208337557805,8.34559413559036,1e-10,3.73635674377778,1.40445493606152,TRUE,0.635869181581798,4.45782401079349
"mirna",1,"1000 1000","1000 1000 1000",64,TRUE,"sigmoid","rmsprop",0.000687678486168732,FALSE,TRUE,350,7.0073899420592,3.88256297885251,9.25184731452027,1e-08,8.1924934984102,6.55199012316414,FALSE,5.84664239068163,3.77669089893544
"mirna",1,"1000","1000",64,FALSE,"sigmoid","sgd",0.0454775169662572,TRUE,FALSE,140,6.18979607385211,8.29773106757436,4.01882906128303,1e-10,3.08300659379934,5.64827960302355,TRUE,4.7155391319936,2.53165668042279
"expression",1,"1000 1000","1000 1000 1000 1000 1000",512,FALSE,"tanh","adam",0.0549500164708751,FALSE,TRUE,496,7.46391268397799,0.0469794877189675,6.16646073433105,1e-12,1.29093116830188,0.691739240308525,FALSE,9.7333776031526,5.30292835972463
"expression",1,"1000 1000","1000 1000 1000 1000",32,TRUE,"relu","sgd",0.0422834120624162,FALSE,FALSE,388,1.76958739075224,9.31685989335123,9.09484370386112,1e-14,6.9824097929391,3.93877860427951,TRUE,5.69938055380151,6.53307080068144
"mirna",1,"1000 1000","1000",32,TRUE,"sigmoid","sgd",7.83586380682502e-05,TRUE,TRUE,149,8.01080068319674,8.4580787216725,6.66631473152549,1e-10,5.31231758764827,5.95051595969708,TRUE,1.97930933854443,7.93654078810233
"mirna",1,"1000 1000","1000 1000 1000 1000",32,FALSE,"relu","rmsprop",0.0882173675104466,TRUE,FALSE,392,5.49720716889912,5.95575277167788,3.611503802886,1e-08,8.1107097548944,3.46798844036413,FALSE,5.05967685819956,2.4120641758086
"expression",1,"1000","1000 1000 1000",32,TRUE,"tanh","sgd",0.0713372010668819,TRUE,TRUE,406,5.55102028144751,4.88250799849765,3.16025724310894,1e-14,9.07689883752482,7.02866722751758,FALSE,9.50272200418773,2.20085946435694
"mirna",1,"1000 1000","1000 1000",32,FALSE,"relu","sgd",0.0725891618250185,FALSE,FALSE,229,3.99186531664344,1.43140059355121,7.42881705097971,1e-12,3.81394472359981,1.53617573459051,FALSE,5.05446138361709,8.79008522634709
