"batch_size","epochs","activation","dense","optimizer","drop","learning_rate","conv","clipnorm","clipvalue","decay","epsilon","rho","momentum","nesterov","beta_1","beta_2"
8,244,"softplus","2000 1000 1000 500 100 50","sgd",0.7364795494469,0.0964709238237385,"64 32 16 32 64 1",4.47603541921003,4.36458749960626,6.92714553622529,"1e-06",1.31617955267848,5.66116512085544,FALSE,5.83354814644531,7.98743408056615
5,420,"softplus","1000 500 100 50","rmsprop",0.872075085007818,0.0358822347048591,"32 20 16 32 10 1",5.95002939967957,4.49984627487395,9.12389524443657,"1e-10",2.68804864002161,5.27574494825793,FALSE,6.5143922501232,5.16081518607996
9,189,"relu","1000 500 100 50","adadelta",0.285040856646944,0.0297721450835998,"25 25 25 25 25 1",1.8122143577417,0.032349116069209,9.6592352867173,"1e-10",6.40455126913413,3.90520669890451,FALSE,1.15947696486026,5.23068459676002
6,453,"softplus","500 100 50","adagrad",0.222772614418657,0.0439400129271574,"32 20 16 32 10 1",8.4083392450196,4.84937559283362,1.79407107388019,"1e-06",7.20597663358549,0.290183902999852,TRUE,7.71002639071344,8.30945967716167
7,289,"tanh","1000 500 100 50","rmsprop",0.672637446969061,0.0494407034073979,"25 25 25 25 25 1",1.81809595825428,8.3346260760307,3.42986083936295,"1e-12",1.94889527955504,7.32340423800168,FALSE,0.0751694547463737,7.44661560604846
10,463,"relu","2000 1000 1000 500 100 50","adam",0.250678548581467,0.0988047038216359,"25 25 25 25 25 1",2.63486296243393,1.66769882053239,5.22744493384147,"1e-06",0.955430211949654,5.28254107093322,FALSE,8.44352986057102,2.8304534510893
8,430,"linear","1000 500 100 50","adagrad",0.720503101438761,0.084564852651874,"32 20 16 32 10 1",9.59492276675503,4.92329787090924,3.94816895558382,"1e-10",2.43412705666575,1.37454262800748,TRUE,4.85021061589748,5.89535517041595
5,377,"softmax","2000 1000 1000 500 100 50","adadelta",0.845820719620481,0.0410732828228269,"32 20 16 32 10 1",1.19452447562967,7.8277246908278,3.54288864961825,"1e-08",0.200648431128109,2.03495181682403,FALSE,1.6305316778149,1.71441388924546
8,412,"softsign","2000 1000 1000 500 100 50","adam",0.769117803124886,0.0129098873949634,"32 20 16 32 10 1",6.50122765667053,7.03113305418042,8.55485092552961,"1e-08",8.66442827323277,6.1723425634054,FALSE,6.68451108617558,8.63042006888272
5,274,"softplus","2000 1000 500 100 50","adadelta",0.598177220711997,0.0196019703176988,"32 20 16 32 10 1",3.87389405378911,4.03587524804268,8.6081830693176,"1e-12",6.08709205697222,7.28560808133218,FALSE,4.42044852715625,1.56874776912438
